Name,Park,Location,Supplier,Year,Coordinates,Latitude,Longitude
Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,"[41.4339, -82.6165]",41.4339, -82.6165
Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,"[42.0626, -72.6227]",42.0626, -72.6227
Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,"[40.1380, -74.4404]",40.1380, -74.4404
Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,"[37.2707, -76.7075]",37.2707, -76.7075
New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,"[32.7513, -97.0822]",32.7513, -97.0822
Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,"[33.7708, -84.5560]",33.7708, -84.5560
Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,"[35.1045, -80.9394]",35.1045, -80.9394
Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,"[41.4339, -82.6165]",41.4339, -82.6165
Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,"[37.8393, -77.4430]",37.8393, -77.4430
Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,"[41.4339, -82.6165]",41.4339, -82.6165
Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,"[42.0626, -72.6227]",42.0626, -72.6227
Diamondback,Kings Island,"Mason, Ohio",B&M,2009,"[39.3441, -84.2686]",39.3441, -84.2686
Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,"[40.1380, -74.4404]",40.1380, -74.4404
Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,"[37.2707, -76.7075]",37.2707, -76.7075
New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,"[32.7513, -97.0822]",32.7513, -97.0822
Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,"[33.7708, -84.5560]",33.7708, -84.5560
Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,"[35.1045, -80.9394]",35.1045, -80.9394
Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,"[41.4339, -82.6165]",41.4339, -82.6165
Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,"[42.0626, -72.6227]",42.0626, -72.6227
Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,"[35.1045, -80.9394]",35.1045, -80.9394
Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,"[40.1380, -74.4404]",40.1380, -74.4404
Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,"[37.2707, -76.7075]",37.2707, -76.7075
New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,"[32.7513, -97.0822]",32.7513, -97.0822
Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,"[35.1045, -80.9394]",35.1045, -80.9394
Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,"[41.4339, -82.6165]",41.4339, -82.6165
Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,"[42.0626, -72.6227]",42.0626, -72.6227
Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,"[40.1380, -74.4404]",40.1380, -74.4404
Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,"[37.2707, -76.7075]",37.2707, -76.7075
Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,"[35.1045, -80.9394]",35.1045, -80.9394
